latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.396,-92.835,302.6,2.1,1.4,2018-10-27,0405,T,50,6.0NRT,285.2,13.4,N
18.456,-92.788,317.3,2.1,1.4,2018-10-27,0405,T,95,6.0NRT,288.9,42.2,N
18.461,-92.774,304.2,2.1,1.4,2018-10-27,0405,T,59,6.0NRT,288.5,15.2,N
18.457,-92.794,314.3,2.1,1.4,2018-10-27,0405,T,89,6.0NRT,289.2,34.5,N
19.289,-92.17,313,1.8,1.3,2018-10-27,0405,T,81,6.0NRT,295.1,19.7,N
19.296,-92.177,312.6,1.8,1.3,2018-10-27,0405,T,79,6.0NRT,295.2,18.7,N
19.392,-92.042,314.2,1.7,1.3,2018-10-27,0405,T,85,6.0NRT,294.9,21.4,N
19.566,-92.243,321.8,1.8,1.3,2018-10-27,0405,T,100,6.0NRT,296.4,37.9,N
19.564,-92.231,316.1,1.8,1.3,2018-10-27,0405,T,90,6.0NRT,296.3,24.9,N
19.561,-92.248,315.8,1.8,1.3,2018-10-27,0405,T,89,6.0NRT,296.3,24.6,N
36.218,-118.636,327.3,1.2,1.1,2018-10-27,0545,T,100,6.0NRT,287.5,33.6,N
36.216,-118.65,309.8,1.2,1.1,2018-10-27,0545,T,65,6.0NRT,285.1,13.3,N
47.018,-123.594,303,1.2,1.1,2018-10-27,0550,T,52,6.0NRT,280.8,11.8,N
47.328,-124.232,307.8,1.3,1.1,2018-10-27,0550,T,56,6.0NRT,280.7,15.6,N
47.326,-124.236,302,1.3,1.1,2018-10-27,0550,T,29,6.0NRT,280.5,10.7,N
49.322,-117.465,303.9,1.1,1,2018-10-27,0550,T,58,6.0NRT,269,12.6,N
49.592,-119.328,300.4,1,1,2018-10-27,0550,T,27,6.0NRT,273.1,8.8,N
49.59,-119.342,308.9,1,1,2018-10-27,0550,T,76,6.0NRT,272,14.1,N
49.601,-119.331,327.3,1,1,2018-10-27,0550,T,100,6.0NRT,273.7,30.5,N
48.92,-123.992,309.7,1.2,1.1,2018-10-27,0550,T,78,6.0NRT,275.8,17.7,N
49.671,-119.359,300.1,1,1,2018-10-27,0550,T,14,6.0NRT,271.9,8.4,N
49.729,-119.061,311.4,1,1,2018-10-27,0550,T,82,6.0NRT,273.5,15.9,N
